channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,V0001T8B1,hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,546,"[14, 15, 16, 17, 18, 19, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,27,477
bit2,V0002T8B1,hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,638,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,27,477
bit3,V0003T8B1,hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),3,-1,749,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z7-405z7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,27,477
bit4,V0004T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,546,"[14, 15, 16, 17, 18, 19, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,21,477
bit5,V0005T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,638,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,21,477
bit6,V0006T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,0,749,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,21,477
bit7,V0007T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,1,546,"[14, 15, 16, 17, 18, 19, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,21,477
bit8,V0008T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,1,638,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,21,477
bit9,V0009T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,1,749,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,21,477
bit10,V0010T8B1,hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,2,546,"[14, 15, 16, 17, 18, 19, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-config-749z7-638z7-546z7-477z1-405z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,21,477
